        Kinetis series,        Kinetis family,        Kinetis subfamily,        Kinetis product,        Full part name,        Qualification status,        Family identifier,        Key attribute,        Flash memory type,        Program flash size identifier,        Program flash size in KB,        Silicon revision,        Temperature range identifier,        Temperature range min. value,        Temperature range max. value,        Package identifier,        Pin count,        Package name,        Max CPU frequency identifier,        Max CPU frequency value in MHz,        Packaging type,        IO map file name,        Code Warrior Mcu comp. name,        P&E Mirco device ID,        Hw board names,        Core,        CPU Frequency MHz,        SRAM [KB],        Total Flash Memory [KB],        Program Flash [KB],        FlexNVM [KB],        FlexRAM [KB],        Programming Acceleration RAM [KB],        Program Flash Base Address,        Program Flash Block Count,        Program Flash Block Size [KB],        Program Flash Write Unit Size [B],        Program Flash Sector Size [B],        Program Flash Read 1s/Program Section Unit Size [B],        Program Flash Configuration Field Base Address,        Program Flash Configuration Field Size,        FlexNVM Base Address,        FlexNVM Block Count,        FlexNVM Block Size [KB],        FlexNVM Write Unit Size,        FlexNVM Sector Size [B],        FlexNVM Read 1s/Program Section Unit Size [B],        FlexRAM Base Address,        SRAM Lower [B],        SRAM Lower Base Address,        SRAM Upper [B],        SRAM Upper Base Address
K,K0x,K02,K02_100,MK02FN128VFM10,M,K02,F,N,128,128,,V,-40,105,FM,32,QFN,10,100,,MK02F12810,MK02FN128xxx10,K02F128M10,,Cortex-M4F,100,16,128,128,,,,0x00000000,1,128,4,2048,8,0x400,16,,,,,,,,8192,0x1FFFE000,8192,0x20000000
K,K0x,K02,K02_100,MK02FN128VLF10,M,K02,F,N,128,128,,V,-40,105,LF,48,LQFP,10,100,,MK02F12810,MK02FN128xxx10,K02F128M10,,Cortex-M4F,100,16,128,128,,,,0x00000000,1,128,4,2048,8,0x400,16,,,,,,,,8192,0x1FFFE000,8192,0x20000000
K,K0x,K02,K02_100,MK02FN128VLH10,M,K02,F,N,128,128,,V,-40,105,LH,64,LQFP,10,100,,MK02F12810,MK02FN128xxx10,K02F128M10,,Cortex-M4F,100,16,128,128,,,,0x00000000,1,128,4,2048,8,0x400,16,,,,,,,,8192,0x1FFFE000,8192,0x20000000
K,K0x,K02,K02_100,MK02FN64VFM10,M,K02,F,N,64,64,,V,-40,105,FM,32,QFN,10,100,,MK02F12810,MK02FN64xxx10,K02F64M10,,Cortex-M4F,100,16,64,64,,,,0x00000000,1,64,4,2048,8,0x400,16,,,,,,,,8192,0x1FFFE000,8192,0x20000000
K,K0x,K02,K02_100,MK02FN64VLF10,M,K02,F,N,64,64,,V,-40,105,LF,48,LQFP,10,100,,MK02F12810,MK02FN64xxx10,K02F64M10,,Cortex-M4F,100,16,64,64,,,,0x00000000,1,64,4,2048,8,0x400,16,,,,,,,,8192,0x1FFFE000,8192,0x20000000
K,K0x,K02,K02_100,MK02FN64VLH10,M,K02,F,N,64,64,,V,-40,105,LH,64,LQFP,10,100,,MK02F12810,MK02FN64xxx10,K02F64M10,,Cortex-M4F,100,16,64,64,,,,0x00000000,1,64,4,2048,8,0x400,16,,,,,,,,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DN128VFM5,M,K10,D,N,128,128,,V,-40,105,FM,32,QFN,5,50,,MK10D5,MK10DN128xxx5,K10DN128M5,,Cortex-M4,50,16,128,128,,2,1,0x00000000,1,128,4,1024,4,0x400,16,,,,,,,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DN128VFT5,M,K10,D,N,128,128,,V,-40,105,FT,48,QFN,5,50,,MK10D5,MK10DN128xxx5,K10DN128M5,,Cortex-M4,50,16,128,128,,2,1,0x00000000,1,128,4,1024,4,0x400,16,,,,,,,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DN128VLF5,M,K10,D,N,128,128,,V,-40,105,LF,48,LQFP,5,50,,MK10D5,MK10DN128xxx5,K10DN128M5,,Cortex-M4,50,16,128,128,,2,1,0x00000000,1,128,4,1024,4,0x400,16,,,,,,,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DN128VLH5,M,K10,D,N,128,128,,V,-40,105,LH,64,LQFP,5,50,,MK10D5,MK10DN128xxx5,K10DN128M5,,Cortex-M4,50,16,128,128,,2,1,0x00000000,1,128,4,1024,4,0x400,16,,,,,,,0x14000000,8192,0x1FFFE000,8192,0x20000000
